"LN","Price","STAT","Address","AR","City","CNTY","BR","BAF","BAH","YR","ZIP","ELEM","MS","HS"
"8054559","$14,900","Otros","785 Coleman St","31","Atlanta","Fulton","1","1","0","1920","30310","Gideons","Sylvan Hil","Carver"
"8114462","$16,900","N","374 Roy St","31","Atlanta","Fulton","1","1","0","1945","30310-3641","Gideons","Parks","Carver"
"8053344","$95,000","A","66 SE Ormond St","32","Atlanta","Fulton","1","1","0","1980","30315-1531","Parkside","King","MH Jksn Jr"
"8069473","$480,000","A","16070 Freemanville Rd","13","Milton","Fulton","1","1","0","1949","30004","Birm Falls","Northwstrn","Cambridge"
"8036919","$625,000","A","4530 Peachtree Dunwoody Rd","132","Sandy Springs","Fulton","1","1","1","1955","30342-2843","High Point","Ridgeview","Riverwood"
"7582384","$875,000","A","35 Burnett Cir","13","Alpharetta","Fulton","1","1","0","1960","30009","Maning Oks","Northwstrn","Milton"
"8000989","$4,275,000","A","3620 Knollwood Dr","21","Atlanta","Fulton","1","1","0","2016","30305","Jackson","Sutton","N Atl"
